2026-06-19T10:00:21.081811941Z I0619 10:00:21.081618       1 batcher.go:146] Batch processing duration: 102.152619ms
2026-06-19T10:00:21.081945251Z I0619 10:00:21.081686       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:00:21.082062507Z I0619 10:00:21.081904       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:00:21.243490696Z I0619 10:00:21.243328       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:00:21.344213475Z I0619 10:00:21.343787       1 batcher.go:146] Batch processing duration: 100.207728ms
2026-06-19T10:00:21.344262069Z I0619 10:00:21.343864       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:00:21.344265510Z I0619 10:00:21.343878       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:00:21.468330849Z I0619 10:00:21.468099       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:00:21.569645193Z I0619 10:00:21.568836       1 batcher.go:146] Batch processing duration: 100.578821ms
2026-06-19T10:00:21.569811775Z I0619 10:00:21.569684       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:00:21.570005490Z I0619 10:00:21.569892       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:00:21.726964840Z I0619 10:00:21.726645       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:00:21.727017277Z I0619 10:00:21.726794       1 node_controller.go:271] Update 3 nodes status took 747.345524ms.
2026-06-19T10:05:21.829693862Z I0619 10:05:21.829318       1 batcher.go:146] Batch processing duration: 100.338396ms
2026-06-19T10:05:21.829732152Z I0619 10:05:21.829382       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:05:21.829736703Z I0619 10:05:21.829395       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:05:21.920913556Z I0619 10:05:21.920750       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:05:22.022635299Z I0619 10:05:22.021864       1 batcher.go:146] Batch processing duration: 101.01874ms
2026-06-19T10:05:22.022657671Z I0619 10:05:22.021921       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:05:22.022661241Z I0619 10:05:22.021936       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:05:22.131465013Z I0619 10:05:22.131281       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:05:22.232390146Z I0619 10:05:22.231688       1 batcher.go:146] Batch processing duration: 100.315869ms
2026-06-19T10:05:22.232413543Z I0619 10:05:22.231741       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:05:22.232416848Z I0619 10:05:22.231755       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:05:22.351297577Z I0619 10:05:22.351126       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:05:22.351323416Z I0619 10:05:22.351166       1 node_controller.go:271] Update 3 nodes status took 622.317997ms.
2026-06-19T10:10:22.451883824Z I0619 10:10:22.451721       1 batcher.go:146] Batch processing duration: 100.320571ms
2026-06-19T10:10:22.451929980Z I0619 10:10:22.451783       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:10:22.452145363Z I0619 10:10:22.451796       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:10:22.596390003Z I0619 10:10:22.596203       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:10:22.697396322Z I0619 10:10:22.696607       1 batcher.go:146] Batch processing duration: 100.280371ms
2026-06-19T10:10:22.697424321Z I0619 10:10:22.696653       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:10:22.697428561Z I0619 10:10:22.696666       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:10:22.763073951Z I0619 10:10:22.762909       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:10:22.863912578Z I0619 10:10:22.863670       1 batcher.go:146] Batch processing duration: 100.647931ms
2026-06-19T10:10:22.864095344Z I0619 10:10:22.863865       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:10:22.864102422Z I0619 10:10:22.863883       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:10:22.980789702Z I0619 10:10:22.980630       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:10:22.980816885Z I0619 10:10:22.980668       1 node_controller.go:271] Update 3 nodes status took 629.410638ms.
2026-06-19T10:15:23.083194043Z I0619 10:15:23.082882       1 batcher.go:146] Batch processing duration: 101.011186ms
2026-06-19T10:15:23.083229424Z I0619 10:15:23.082942       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:15:23.083280286Z I0619 10:15:23.082954       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
2026-06-19T10:15:23.172650625Z I0619 10:15:23.172515       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:15:23.273453234Z I0619 10:15:23.273241       1 batcher.go:146] Batch processing duration: 100.496972ms
2026-06-19T10:15:23.273481879Z I0619 10:15:23.273311       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:15:23.273668161Z I0619 10:15:23.273324       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ecec600693268f66] <nil> <nil> {}}
2026-06-19T10:15:23.460272546Z I0619 10:15:23.460133       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:15:23.560866568Z I0619 10:15:23.560743       1 batcher.go:146] Batch processing duration: 100.407285ms
2026-06-19T10:15:23.561301514Z I0619 10:15:23.560945       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:15:23.561420045Z I0619 10:15:23.561242       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0d94ada325e8491c5] <nil> <nil> {}}
2026-06-19T10:15:23.665373569Z I0619 10:15:23.665202       1 instances_v2.go:106] No instance topolopy for instance type t3.medium available.
2026-06-19T10:15:23.665406766Z I0619 10:15:23.665250       1 node_controller.go:271] Update 3 nodes status took 683.544343ms.
2026-06-19T10:20:23.766973734Z I0619 10:20:23.766792       1 batcher.go:146] Batch processing duration: 100.302824ms
2026-06-19T10:20:23.767010720Z I0619 10:20:23.766862       1 batcher.go:187] Batch size for label describe_instance is 1
2026-06-19T10:20:23.767024980Z I0619 10:20:23.766939       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0010bc1572a60c430] <nil> <nil> {}}
