2026-06-19T09:57:34.663328699Z I0619 09:57:34.663083      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.003482059387830024 seatDemandStdev=0.06181148149036363 seatDemandSmoothed=0.1796405769181238 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T09:57:44.663799693Z I0619 09:57:44.663466      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.0022555308989821708 seatDemandStdev=0.04743883935496217 seatDemandSmoothed=0.17665181416484768 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T09:58:04.669513728Z I0619 09:58:04.669182      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.01201131911166836 seatDemandStdev=0.10898967607820159 seatDemandSmoothed=0.1724920037428233 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T09:58:14.669930989Z I0619 09:58:14.669699      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.0025533201696159038 seatDemandStdev=0.050465837214172284 seatDemandSmoothed=0.1697441282765655 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T09:58:34.671529597Z I0619 09:58:34.671253      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=2 seatDemandAvg=0.003056917046663697 seatDemandStdev=0.05990853363843945 seatDemandSmoothed=0.1645989564177898 fairFrac=2.3333333333333335 currentCL=2 concurrencyDenominator=2 backstop=false
2026-06-19T09:58:54.673595441Z I0619 09:58:54.673311      10 apf_controller.go:493] "Update CurrentCL" plName="exempt" seatDemandHighWatermark=1 seatDemandAvg=0.0021499198539748844 seatDemandStdev=0.04631735850193067 seatDemandSmoothed=0.1595654989376306 fairFrac=2.3333333333333335 currentCL=1 concurrencyDenominator=1 backstop=false
2026-06-19T09:59:03.192403366Z I0619 09:59:03.190709      10 controller.go:231] Updating CRD OpenAPI spec because ciliumnodes.cilium.io changed
2026-06-19T09:59:03.192425600Z I0619 09:59:03.190750      10 controller.go:231] Updating CRD OpenAPI spec because ciliumendpoints.cilium.io changed
2026-06-19T09:59:03.196382611Z I0619 09:59:03.196154      10 controller.go:231] Updating CRD OpenAPI spec because ciliumnodeconfigs.cilium.io changed
2026-06-19T09:59:03.217732928Z I0619 09:59:03.217373      10 controller.go:231] Updating CRD OpenAPI spec because vmpodscrapes.operator.victoriametrics.com changed
2026-06-19T09:59:03.218592632Z I0619 09:59:03.217763      10 controller.go:231] Updating CRD OpenAPI spec because ciliumnetworkpolicies.cilium.io changed
2026-06-19T09:59:03.220572929Z I0619 09:59:03.220390      10 controller.go:231] Updating CRD OpenAPI spec because ciliuml2announcementpolicies.cilium.io changed
2026-06-19T09:59:03.220989286Z I0619 09:59:03.220877      10 controller.go:231] Updating CRD OpenAPI spec because vmanomalyconfigs.operator.victoriametrics.com changed
2026-06-19T09:59:03.227585580Z I0619 09:59:03.227340      10 controller.go:231] Updating CRD OpenAPI spec because vmanomalies.operator.victoriametrics.com changed
2026-06-19T09:59:03.231248457Z I0619 09:59:03.231058      10 controller.go:231] Updating CRD OpenAPI spec because vmservicescrapes.operator.victoriametrics.com changed
2026-06-19T09:59:03.233687525Z I0619 09:59:03.232584      10 controller.go:231] Updating CRD OpenAPI spec because vlsingles.operator.victoriametrics.com changed
2026-06-19T09:59:03.241080916Z I0619 09:59:03.240867      10 controller.go:231] Updating CRD OpenAPI spec because vlclusters.operator.victoriametrics.com changed
2026-06-19T09:59:03.241716961Z I0619 09:59:03.241525      10 controller.go:231] Updating CRD OpenAPI spec because vmrules.operator.victoriametrics.com changed
2026-06-19T09:59:03.255382627Z I0619 09:59:03.255150      10 controller.go:231] Updating CRD OpenAPI spec because vmalerts.operator.victoriametrics.com changed
2026-06-19T09:59:03.256275954Z I0619 09:59:03.256096      10 controller.go:231] Updating CRD OpenAPI spec because ciliumclusterwidenetworkpolicies.cilium.io changed
2026-06-19T09:59:03.257236091Z I0619 09:59:03.257066      10 controller.go:231] Updating CRD OpenAPI spec because ciliumcidrgroups.cilium.io changed
2026-06-19T09:59:03.258198873Z I0619 09:59:03.258097      10 controller.go:231] Updating CRD OpenAPI spec because vmusers.operator.victoriametrics.com changed
2026-06-19T09:59:03.258393811Z I0619 09:59:03.258301      10 controller.go:231] Updating CRD OpenAPI spec because vmprobes.operator.victoriametrics.com changed
2026-06-19T09:59:03.259625070Z I0619 09:59:03.259514      10 controller.go:231] Updating CRD OpenAPI spec because vlogs.operator.victoriametrics.com changed
2026-06-19T09:59:03.260139186Z I0619 09:59:03.260044      10 controller.go:231] Updating CRD OpenAPI spec because vmstaticscrapes.operator.victoriametrics.com changed
2026-06-19T09:59:03.267308679Z I0619 09:59:03.267108      10 controller.go:231] Updating CRD OpenAPI spec because vlagents.operator.victoriametrics.com changed
2026-06-19T09:59:03.271727530Z I0619 09:59:03.270390      10 controller.go:231] Updating CRD OpenAPI spec because vmalertmanagerconfigs.operator.victoriametrics.com changed
2026-06-19T09:59:03.274711635Z I0619 09:59:03.274517      10 controller.go:231] Updating CRD OpenAPI spec because vmalertmanagers.operator.victoriametrics.com changed
2026-06-19T09:59:03.275290032Z I0619 09:59:03.275154      10 controller.go:231] Updating CRD OpenAPI spec because vmauths.operator.victoriametrics.com changed
2026-06-19T09:59:03.276841928Z I0619 09:59:03.276708      10 controller.go:231] Updating CRD OpenAPI spec because vtsingles.operator.victoriametrics.com changed
2026-06-19T09:59:03.276986438Z I0619 09:59:03.276903      10 controller.go:231] Updating CRD OpenAPI spec because vmsingles.operator.victoriametrics.com changed
2026-06-19T09:59:03.277070907Z I0619 09:59:03.277000      10 controller.go:231] Updating CRD OpenAPI spec because vtclusters.operator.victoriametrics.com changed
2026-06-19T09:59:03.286582256Z I0619 09:59:03.286216      10 controller.go:231] Updating CRD OpenAPI spec because vmnodescrapes.operator.victoriametrics.com changed
