2026-06-19T12:47:22.228973297Z 2026-06-19T12:47:22.228Z	warn	VictoriaMetrics/lib/cgroup/cpu.go:51	rounding CPU quota 1.2 to 1 CPUs for performance reasons - see https://docs.victoriametrics.com/victoriametrics/bestpractices/#kubernetes
2026-06-19T12:47:22.274538519Z 2026-06-19T12:47:22.274Z	info	VictoriaMetrics/lib/logger/flag.go:12	build version: victoria-metrics-20260508-115609-tags-v1.143.0-0-g5e9324673e
2026-06-19T12:47:22.274563490Z 2026-06-19T12:47:22.274Z	info	VictoriaMetrics/lib/logger/flag.go:13	command-line flags
2026-06-19T12:47:22.274853049Z 2026-06-19T12:47:22.274Z	info	VictoriaMetrics/lib/logger/flag.go:20	  -httpListenAddr=":8428"
2026-06-19T12:47:22.274907408Z 2026-06-19T12:47:22.274Z	info	VictoriaMetrics/lib/logger/flag.go:20	  -retentionPeriod="7d"
2026-06-19T12:47:22.274995868Z 2026-06-19T12:47:22.274Z	info	VictoriaMetrics/lib/logger/flag.go:20	  -storageDataPath="/victoria-metrics-data"
2026-06-19T12:47:22.275067308Z 2026-06-19T12:47:22.275Z	info	VictoriaMetrics/app/victoria-metrics/main.go:88	starting VictoriaMetrics at "[:8428]"...
2026-06-19T12:47:22.276446010Z 2026-06-19T12:47:22.276Z	info	VictoriaMetrics/app/vmstorage/main.go:150	opening storage at "/victoria-metrics-data" with -retentionPeriod=7d
2026-06-19T12:47:22.280932443Z 2026-06-19T12:47:22.280Z	info	VictoriaMetrics/lib/memory/memory.go:45	limiting caches to 943718400 bytes, leaving 629145600 bytes to the OS according to -memory.allowedPercent=60, system memory limit 1572864000 bytes
2026-06-19T12:47:22.282544752Z 2026-06-19T12:47:22.281Z	info	VictoriaMetrics/lib/workingsetcache/cache.go:88	creating new cache at /victoria-metrics-data/cache/metricName_tsid with max size 349175808 bytes
2026-06-19T12:47:22.290679381Z 2026-06-19T12:47:22.290Z	info	VictoriaMetrics/lib/workingsetcache/cache.go:88	creating new cache at /victoria-metrics-data/cache/metricID_tsid with max size 58982400 bytes
2026-06-19T12:47:22.291449210Z 2026-06-19T12:47:22.291Z	info	VictoriaMetrics/lib/workingsetcache/cache.go:88	creating new cache at /victoria-metrics-data/cache/metricID_metricName with max size 94371840 bytes
2026-06-19T12:47:22.292100840Z 2026-06-19T12:47:22.292Z	info	VictoriaMetrics/lib/storage/storage.go:249	resetting tsidCache in order to properly track metric name usage stats
2026-06-19T12:47:22.303160245Z 2026-06-19T12:47:22.303Z	info	VictoriaMetrics/lib/storage/partition.go:211	creating a partition "2026_06" with smallPartsPath="/victoria-metrics-data/data/small/2026_06", bigPartsPath="/victoria-metrics-data/data/big/2026_06", indexDBPartsPath="/victoria-metrics-data/data/indexdb/2026_06"
2026-06-19T12:47:22.319531924Z 2026-06-19T12:47:22.319Z	info	VictoriaMetrics/lib/storage/partition.go:231	partition "2026_06" has been created
2026-06-19T12:47:22.319954836Z 2026-06-19T12:47:22.319Z	info	VictoriaMetrics/app/vmstorage/main.go:174	successfully opened storage "/victoria-metrics-data" in 0.043 seconds; partsCount: 0; blocksCount: 0; rowsCount: 0; sizeBytes: 0
2026-06-19T12:47:22.321930701Z 2026-06-19T12:47:22.321Z	info	VictoriaMetrics/app/vmselect/promql/rollup_result_cache.go:129	loading rollupResult cache from "/victoria-metrics-data/cache/rollupResult"...
2026-06-19T12:47:22.322067522Z 2026-06-19T12:47:22.321Z	info	VictoriaMetrics/lib/workingsetcache/cache.go:88	creating new cache at /victoria-metrics-data/cache/rollupResult with max size 58982400 bytes
2026-06-19T12:47:22.322821095Z 2026-06-19T12:47:22.322Z	info	VictoriaMetrics/app/vmselect/promql/rollup_result_cache.go:158	loaded rollupResult cache from "/victoria-metrics-data/cache/rollupResult" in 0.001 seconds; entriesCount: 0, sizeBytes: 0
2026-06-19T12:47:22.322969219Z 2026-06-19T12:47:22.322Z	info	VictoriaMetrics/app/vmselect/prometheus/prometheus.go:1331	limiting -search.maxUniqueTimeseries to 1572864 according to -search.maxConcurrentRequests=2 and remaining memory=629145600 bytes. To increase the limit, reduce -search.maxConcurrentRequests or increase memory available to the process.
2026-06-19T12:47:22.324201259Z 2026-06-19T12:47:22.324Z	info	VictoriaMetrics/app/victoria-metrics/main.go:106	started VictoriaMetrics in 0.049 seconds
2026-06-19T12:47:22.329009571Z 2026-06-19T12:47:22.328Z	info	VictoriaMetrics/lib/httpserver/httpserver.go:147	started server at http://0.0.0.0:8428/
2026-06-19T12:47:22.329026898Z 2026-06-19T12:47:22.328Z	info	VictoriaMetrics/lib/httpserver/httpserver.go:149	pprof handlers are exposed at http://0.0.0.0:8428/debug/pprof/
2026-06-19T12:49:21.899709836Z 2026-06-19T12:49:21.899Z	info	VictoriaMetrics/app/vmselect/querystats/querystats.go:72	enabled query stats tracking at `/api/v1/status/top_queries` with -search.queryStats.lastQueriesCount=20000, -search.queryStats.minQueryDuration=1ms, -search.queryStats.minQueryMemoryUsage=1024
